EventType,TrafficMultiplier,ABTestGroup,SaleAmountEUR,BranchID
Valentine,2.6,Variation2,620.4078394,BR-001
Valentine,4.3,Variation2,-2964.347752,BR-001
Normal,1,Control,1190.566585,BR-001
BlackFriday,4.2,Control,1520.517232,BR-001
Christmas,2.2,Variation1,1840.749626,BR-001
BlackFriday,1.6,Control,1310.810328,BR-001
Normal,1,Control,1227.377085,BR-001
Christmas,1.9,Variation2,1021.039579,BR-001
BlackFriday,1.6,Variation1,1256.964189,BR-001
BlackFriday,4.2,Variation1,1461.167038,BR-001
Valentine,4.2,Variation1,1417.959248,BR-001
Normal,1,Variation2,456.344049,BR-001
BlackFriday,1.8,Variation2,2023.484137,BR-001
Christmas,1.9,Control,1901.639888,BR-001
Valentine,2.9,Control,1854.786567,BR-001
Christmas,4.1,Control,1372.195862,BR-001
Normal,1,Control,1273.813688,BR-001
Normal,1,Control,2101.317604,BR-001
BlackFriday,1.6,Control,1189.99567,BR-001
BlackFriday,4.4,Control,2573.955143,BR-001
Valentine,4.3,Variation2,1000.46604,BR-001
Valentine,4.4,Variation1,404.8199626,BR-001
Christmas,1.9,Variation1,1186.111539,BR-001
BlackFriday,3.1,Control,1329.475556,BR-001
Christmas,1.4,Variation2,2307.485881,BR-001
Normal,1,Variation1,792.8705889,BR-001
BlackFriday,3.8,Variation2,1535.634788,BR-001
Valentine,2.6,Control,777.0420918,BR-001
Normal,1,Control,851.3645456,BR-001
Christmas,4.6,Control,1321.01789,BR-001
Normal,1,Control,1204.18303,BR-001
Normal,1,Variation1,668.5386681,BR-001
Normal,1,Control,773.6484014,BR-001
Christmas,2.5,Control,1565.9918,BR-001
Valentine,1,Variation1,1464.955844,BR-001
BlackFriday,2.9,Variation1,850.1152597,BR-001
Normal,1,Control,1524.004724,BR-001
BlackFriday,4.5,Variation2,1462.645363,BR-001
Valentine,3.3,Variation2,1716.791684,BR-001
Normal,1,Control,2385.753632,BR-001
Normal,1,Control,1672.458879,BR-001
Christmas,2.5,Control,1091.142355,BR-001
Normal,1,Variation1,963.9446831,BR-001
Christmas,4.6,Variation2,1596.956361,BR-001
Normal,1,Control,821.9692668,BR-001
BlackFriday,3.3,Control,781.583347,BR-001
Christmas,2.3,Control,697.6063074,BR-001
Normal,1,Control,787.9357692,BR-001
Normal,1,Control,19.39100795,BR-001
Valentine,1.7,Variation1,1169.327662,BR-001
BlackFriday,3.9,Variation2,232.1927017,BR-001
Christmas,4.1,Control,1211.306115,BR-001
Valentine,2.4,Control,371.0846801,BR-001
Normal,1,Variation2,44.56235813,BR-001
Normal,1,Variation1,236.8296178,BR-001
Normal,1,Variation2,972.8132151,BR-001
BlackFriday,1.2,Variation1,1696.423603,BR-001
BlackFriday,1.1,Control,1759.76462,BR-001
BlackFriday,2.3,Control,986.0783546,BR-001
Normal,1,Variation2,871.9871421,BR-001
BlackFriday,1.3,Control,677.3108228,BR-001
BlackFriday,4,Control,1929.408071,BR-001
Christmas,1.8,Variation2,1633.211006,BR-001
BlackFriday,5,Control,2169.949234,BR-001
Valentine,3.9,Control,1960.068664,BR-001
Valentine,4.6,Control,-1991.872864,BR-001
BlackFriday,1.8,Variation2,154.9506312,BR-001
Normal,1,Control,883.2091285,BR-001
Christmas,4.5,Variation1,1868.189375,BR-001
Valentine,2.9,Control,108.7257698,BR-001
Normal,1,Variation1,1034.305815,BR-001
Normal,1,Variation1,576.629348,BR-001
Normal,1,Variation1,1813.411727,BR-001
Christmas,2.4,Variation1,1573.152483,BR-001
Normal,1,Control,862.2084867,BR-001
BlackFriday,2,Variation1,-1416.239487,BR-001
BlackFriday,4.8,Variation2,1902.899864,BR-001
BlackFriday,3.4,Control,1452.297222,BR-001
Normal,1,Variation1,979.5345476,BR-001
BlackFriday,4.3,Control,2669.332726,BR-001
Christmas,2.7,Variation2,2015.900917,BR-001
Valentine,1.2,Variation1,1828.613444,BR-001
Christmas,2.2,Variation2,1873.10366,BR-001
Normal,1,Control,1256.917638,BR-001
Normal,1,Control,896.3265876,BR-001
Valentine,2.3,Control,1116.354995,BR-001
Christmas,2.6,Variation1,656.3986432,BR-001
BlackFriday,2.5,Variation2,2098.858004,BR-001
Valentine,4.6,Control,33.12891054,BR-001
Christmas,3,Variation1,915.3370305,BR-001
Normal,1,Variation1,819.0958858,BR-001
Christmas,2.9,Control,1072.859012,BR-001
Christmas,1.6,Control,1691.169413,BR-001
Normal,1,Control,1067.704589,BR-001
Valentine,4.9,Control,1515.996603,BR-001
BlackFriday,4.3,Control,1852.587973,BR-001
Valentine,5,Variation1,1227.681141,BR-001
Christmas,2.6,Control,1589.238259,BR-001
Valentine,1.2,Control,-1325.458407,BR-001
Valentine,3,Variation1,789.7989215,BR-001
Normal,1,Control,1173.979542,BR-001
Christmas,4.2,Control,2357.056762,BR-001
Christmas,3.9,Control,2452.196472,BR-001
BlackFriday,3.8,Variation1,1166.431918,BR-001
Normal,1,Control,1314.833547,BR-001
Christmas,2.1,Control,936.0052375,BR-001
BlackFriday,1.7,Variation1,1164.687085,BR-001
Valentine,2.6,Control,988.0300985,BR-001
Valentine,4,Control,549.9725699,BR-001
Valentine,3,Variation2,1240.157248,BR-001
BlackFriday,2.8,Control,621.88161,BR-001
Normal,1,Variation1,1329.889087,BR-001
Valentine,4.3,Control,-1044.005477,BR-001
Christmas,4.5,Variation2,1523.605463,BR-001
Normal,1,Control,929.3080831,BR-001
Valentine,3.2,Variation2,1946.461916,BR-001
Valentine,5,Control,1811.122033,BR-001
Normal,1,Variation2,1071.362386,BR-001
BlackFriday,4.3,Control,362.7698914,BR-001
Valentine,2,Control,1491.534837,BR-001
Valentine,3.4,Control,938.7313326,BR-001
Normal,1,Control,1884.6659,BR-001
BlackFriday,1.7,Variation1,1004.589674,BR-001
Normal,1,Control,1134.772703,BR-001
Christmas,3.8,Control,1673.36642,BR-001
BlackFriday,1.7,Control,679.5466126,BR-001
BlackFriday,4.3,Control,1351.683661,BR-001
Christmas,2.2,Control,436.7391877,BR-001
BlackFriday,1.7,Variation2,2068.041126,BR-001
BlackFriday,2.5,Control,-1150.949196,BR-001
Christmas,3,Control,1753.126246,BR-001
BlackFriday,4.3,Control,1634.437746,BR-001
BlackFriday,2.6,Control,1473.598854,BR-001
Normal,1,Variation1,812.9915374,BR-001
Normal,1,Control,1948.531003,BR-001
Valentine,4.2,Control,-855.6113681,BR-001
Christmas,2.9,Variation2,1383.823831,BR-001
BlackFriday,2.9,Control,2078.14954,BR-001
BlackFriday,4.9,Variation1,735.5117201,BR-001
Valentine,1.9,Control,1020.492438,BR-001
Christmas,4.6,Control,1089.35987,BR-001
Christmas,4.8,Control,558.0955881,BR-001
BlackFriday,3.5,Control,-1813.837689,BR-001
Christmas,2.6,Variation1,115.8244505,BR-001
BlackFriday,2.3,Variation1,2090.547725,BR-001
Christmas,3.8,Variation1,679.5235666,BR-001
Valentine,4.7,Control,1525.924165,BR-001
Valentine,1.8,Control,694.5287289,BR-001
BlackFriday,3.5,Control,679.3057803,BR-001
Valentine,4.7,Control,1184.029141,BR-001
Christmas,4.1,Control,1873.669637,BR-001
BlackFriday,4.6,Variation1,89.71194797,BR-001
Valentine,3.8,Control,1890.867628,BR-001
Christmas,3.1,Variation1,2271.845756,BR-001
Normal,1,Control,1004.997601,BR-001
Normal,1,Variation1,370.4527313,BR-001
BlackFriday,2.2,Variation2,1164.944711,BR-001
Valentine,1.4,Control,892.3604054,BR-001
BlackFriday,4.5,Variation1,1605.727728,BR-001
BlackFriday,3.8,Control,290.970006,BR-001
Valentine,1.4,Control,984.5003462,BR-001
Valentine,2.9,Variation1,1361.650676,BR-001
BlackFriday,3.2,Control,2857.217764,BR-001
BlackFriday,1.3,Control,1085.12035,BR-001
Valentine,2.6,Variation1,1155.248156,BR-001
Normal,1,Control,1336.51229,BR-001
Valentine,3.9,Control,1626.040225,BR-001
Normal,1,Control,1754.376496,BR-001
BlackFriday,1.1,Control,1334.926849,BR-001
Valentine,1.1,Control,702.9234539,BR-001
Normal,1,Control,1136.114582,BR-001
Valentine,1.1,Variation1,1184.2408,BR-001
Normal,1,Variation1,553.2557857,BR-001
Normal,1,Variation2,1500.933236,BR-001
Normal,1,Control,1323.307127,BR-001
BlackFriday,4.6,Variation2,870.517145,BR-001
Christmas,4,Variation2,774.5640914,BR-001
Christmas,2.7,Control,1010.661394,BR-001
Valentine,4.4,Variation2,2807.39497,BR-001
Valentine,4.4,Control,1984.750074,BR-001
Christmas,2.6,Control,958.0385992,BR-001
BlackFriday,2.5,Control,2649.185545,BR-001
Christmas,1.7,Variation2,736.375332,BR-001
Normal,1,Control,1081.988647,BR-001
Normal,1,Control,205.212346,BR-001
Christmas,3,Control,1651.59573,BR-001
BlackFriday,1.9,Variation2,2006.610911,BR-001
Christmas,2.5,Control,2008.927868,BR-001
Valentine,3.6,Variation1,1264.607433,BR-001
Valentine,2.6,Variation2,1189.352807,BR-001
Valentine,4.6,Variation1,1334.428092,BR-001
Christmas,4.1,Variation1,478.8563354,BR-001
Christmas,2,Control,1393.357202,BR-001
BlackFriday,3.5,Variation2,1780.722129,BR-001
Normal,1,Variation1,-1789.441537,BR-001
Normal,1,Control,1796.100074,BR-001
Christmas,2.8,Variation2,851.6798938,BR-001
Normal,1,Variation2,1182.000128,BR-001
Valentine,4.8,Control,1151.016804,BR-001
Valentine,2.5,Control,1187.896868,BR-001
Christmas,3.4,Variation2,992.7609144,BR-001
Valentine,1.9,Variation2,769.2266001,BR-001
BlackFriday,3.4,Variation2,2096.602774,BR-001
Normal,1,Control,471.9975597,BR-001
BlackFriday,4.5,Control,1963.603846,BR-001
Valentine,1.7,Control,548.5294158,BR-001
BlackFriday,3.6,Variation2,1423.915108,BR-001
Normal,1,Control,1794.262076,BR-001
BlackFriday,1.4,Control,1051.922286,BR-001
Valentine,3.2,Variation2,1667.789452,BR-001
BlackFriday,4,Control,1633.796065,BR-001
Christmas,3.5,Control,1941.036725,BR-001
Christmas,1.5,Variation1,1917.062141,BR-001
Valentine,3.7,Variation2,847.6676418,BR-001
Normal,1,Control,1727.002858,BR-001
Valentine,4.3,Control,138.9208501,BR-001
BlackFriday,4.9,Variation1,1197.537363,BR-001
Valentine,2.5,Variation2,1381.112669,BR-001
Christmas,2.4,Control,2187.381333,BR-001
Normal,1,Control,1482.359107,BR-001
Valentine,5,Control,-2031.616909,BR-001
Christmas,2,Control,838.6248579,BR-001
Valentine,1.1,Control,1384.070611,BR-001
BlackFriday,5,Variation1,1820.06988,BR-001
Normal,1,Variation2,1071.500738,BR-001
Valentine,4.2,Control,2236.235206,BR-001
Normal,1,Control,1869.771916,BR-001
Normal,1,Variation1,1082.75954,BR-001
Normal,1,Control,1806.546804,BR-001
Christmas,4.6,Variation2,999.1386303,BR-001
Christmas,2.3,Control,438.3103475,BR-001
Valentine,2.6,Control,639.4216661,BR-001
Normal,1,Control,1162.567379,BR-001
BlackFriday,1.5,Control,538.8825142,BR-001
BlackFriday,1,Variation2,2170.725317,BR-001
BlackFriday,3.1,Variation2,375.2635888,BR-001
BlackFriday,1,Control,1255.363464,BR-001
BlackFriday,5,Variation2,1051.935317,BR-001
Normal,1,Variation1,776.5779802,BR-001
Normal,1,Control,964.1509235,BR-001
Valentine,1.8,Variation1,1244.654265,BR-001
Valentine,1.7,Variation1,1994.41945,BR-001
BlackFriday,4.1,Variation1,1694.877693,BR-001
Normal,1,Variation2,788.6584463,BR-001
Christmas,2.4,Control,1412.654251,BR-001
Valentine,3.4,Control,2119.440297,BR-001
Normal,1,Control,754.9747909,BR-001
Valentine,1.1,Control,42.51097976,BR-001
BlackFriday,4,Control,1542.925153,BR-001
Valentine,4.2,Variation2,795.4148014,BR-001
BlackFriday,1.7,Control,994.361523,BR-001
Valentine,4.4,Variation1,1786.661488,BR-001
BlackFriday,4.3,Control,1547.53509,BR-001
Valentine,3.7,Control,-2126.003457,BR-001
Christmas,4.6,Control,3441.912882,BR-001
Valentine,3.2,Control,1843.884555,BR-001
Valentine,3.5,Variation2,1770.217386,BR-001
BlackFriday,2.8,Variation2,1849.849294,BR-001
Valentine,1.8,Variation1,1827.013129,BR-001
Valentine,4.4,Control,1777.463415,BR-001
BlackFriday,4.4,Variation2,859.1990836,BR-001
Christmas,1.8,Variation1,1509.711144,BR-001
BlackFriday,4.1,Control,1574.957795,BR-001
BlackFriday,3,Control,1796.738576,BR-001
Normal,1,Control,465.3826412,BR-001
BlackFriday,3.5,Control,1429.465326,BR-001
Normal,1,Control,909.357159,BR-001
BlackFriday,4.4,Variation2,92.91057247,BR-001
Valentine,1.4,Control,1860.930753,BR-001
Normal,1,Control,1258.465714,BR-001
Christmas,1.3,Variation1,1846.9648,BR-001
Valentine,4.2,Variation2,1239.187884,BR-001
Christmas,4.3,Control,714.9487019,BR-001
Christmas,3.7,Variation2,1205.206661,BR-001
BlackFriday,2.4,Variation1,229.8968997,BR-001
Normal,1,Variation1,1744.98706,BR-001
Valentine,1.4,Control,1066.630738,BR-001
Valentine,3.1,Variation1,1902.300705,BR-001
Valentine,1.3,Variation1,1940.615257,BR-001
Valentine,4.3,Variation1,2332.798732,BR-001
Normal,1,Variation1,1283.588744,BR-001
Valentine,4.7,Control,2014.500596,BR-001
BlackFriday,1.5,Variation1,1468.717186,BR-001
BlackFriday,2.2,Control,1200.405714,BR-001
Normal,1,Control,1144.949903,BR-001
Normal,1,Variation1,1660.829463,BR-001
Christmas,1.6,Variation2,1208.410356,BR-001
Christmas,4.5,Variation1,757.0843002,BR-001
Christmas,1.7,Control,682.5340801,BR-001
Valentine,2.4,Variation2,1145.127567,BR-001
BlackFriday,3.7,Control,1197.323666,BR-001
Normal,1,Control,1342.073992,BR-001
Christmas,1.2,Control,101.9794357,BR-001
Christmas,2.6,Control,2030.273151,BR-001
Christmas,1.6,Control,980.3089329,BR-001
Valentine,4.1,Control,1320.421293,BR-001
BlackFriday,2.4,Variation2,2175.596467,BR-001
Normal,1,Control,795.3281261,BR-001
Valentine,1.8,Control,1450.712876,BR-001
Valentine,3.7,Control,-1774.952599,BR-001
Normal,1,Control,1656.905882,BR-001
Normal,1,Variation1,531.5902482,BR-001
BlackFriday,3.1,Control,1565.182608,BR-001
BlackFriday,5,Control,1768.619495,BR-001
BlackFriday,1.3,Control,665.9096357,BR-001
BlackFriday,1.1,Variation1,941.8791398,BR-001
Normal,1,Variation1,1435.297614,BR-001
Normal,1,Control,1145.041188,BR-001
Christmas,1.9,Variation2,865.1518271,BR-001
Christmas,4.5,Variation1,1920.590801,BR-001
Christmas,3.4,Control,1347.860688,BR-001
Valentine,1.9,Variation1,1156.110313,BR-001
Normal,1,Variation2,1303.021684,BR-001
BlackFriday,2.3,Variation1,1742.315928,BR-001
Christmas,3.8,Variation2,-1095.107688,BR-001
Normal,1,Variation1,1202.906936,BR-001
Valentine,3.6,Control,13.14008382,BR-001
Valentine,1.3,Variation2,854.8967481,BR-001
Valentine,2.5,Control,2001.799137,BR-001
Valentine,4.2,Variation1,1838.875825,BR-001
Valentine,3.1,Variation2,1165.697418,BR-001
Christmas,4.1,Control,259.8358044,BR-001
Valentine,4,Variation2,2461.096664,BR-001
BlackFriday,4.3,Variation1,1853.610007,BR-001
BlackFriday,1.2,Control,1082.94599,BR-001
Valentine,1.8,Control,661.7933247,BR-001
Christmas,4.6,Variation1,537.5438634,BR-001
BlackFriday,1.4,Variation2,1471.016709,BR-001
Christmas,2.6,Control,1565.857415,BR-001
Christmas,2.8,Control,310.3208489,BR-001
Normal,1,Variation2,1885.710515,BR-001
Christmas,2.6,Variation2,1946.872985,BR-001
BlackFriday,2.3,Variation2,1018.338212,BR-001
Normal,1,Variation2,1753.360225,BR-001
Valentine,4,Variation2,623.7513668,BR-001
Normal,1,Control,690.2369718,BR-001
Christmas,1.4,Variation2,1222.962902,BR-001
BlackFriday,3.7,Variation2,2185.419772,BR-001
Valentine,3.3,Variation1,1331.877415,BR-001
BlackFriday,4.8,Variation2,-194.4905563,BR-001
Valentine,3.2,Control,1484.577306,BR-001
Normal,1,Control,847.3793442,BR-001
Valentine,2.3,Control,1012.800097,BR-001
Christmas,2.9,Variation1,1550.998606,BR-001
Normal,1,Control,504.8579537,BR-001
Valentine,2.6,Control,1624.417493,BR-001
Valentine,4.5,Variation1,2079.661185,BR-001
Valentine,4.8,Control,1067.837125,BR-001
BlackFriday,1.7,Variation1,121.4187483,BR-001
Christmas,1.6,Control,627.9612281,BR-001
Christmas,3.3,Control,1744.79351,BR-001
BlackFriday,2.9,Variation2,189.8970161,BR-001
Christmas,4.3,Variation2,1418.842275,BR-001
Valentine,2.4,Control,1147.454228,BR-001
Valentine,2.2,Control,607.8468065,BR-001
Normal,1,Control,824.1636026,BR-001
BlackFriday,4.6,Control,1586.229609,BR-001
Normal,1,Control,578.9127973,BR-001
Normal,1,Control,870.2553971,BR-001
BlackFriday,3.8,Control,414.0212153,BR-001
Valentine,1.6,Variation2,1008.807229,BR-001
Valentine,3.5,Variation1,1037.118645,BR-001
Christmas,1.6,Control,989.4077303,BR-001
Christmas,3.6,Variation1,1497.361376,BR-001
Valentine,2.5,Control,690.1298009,BR-001
BlackFriday,1.1,Control,1908.206099,BR-001
Christmas,2.8,Variation2,1518.243883,BR-001
Normal,1,Control,1545.478911,BR-001
BlackFriday,3.5,Control,1038.459163,BR-001
Valentine,2.9,Control,1986.847901,BR-001
Valentine,3.4,Control,524.5769792,BR-001
Valentine,4.3,Variation2,1643.139442,BR-001
Normal,1,Control,816.8672009,BR-001
Valentine,3.4,Variation2,1970.197779,BR-001
BlackFriday,1.2,Control,691.16758,BR-001
BlackFriday,1.5,Control,1205.274387,BR-001
BlackFriday,2.2,Control,637.5726423,BR-001
Valentine,2.2,Control,949.9994021,BR-001
BlackFriday,3.8,Variation1,96.38641891,BR-001
BlackFriday,2.4,Variation2,374.9691104,BR-001
Valentine,3.5,Variation2,887.0655695,BR-001
Christmas,1.9,Variation2,1098.894462,BR-001
Valentine,4.9,Control,2417.843749,BR-001
Normal,1,Variation1,1468.980978,BR-001
Christmas,4.5,Control,980.3315383,BR-001
Normal,1,Control,912.1274975,BR-001
Normal,1,Variation2,724.9510935,BR-001
Christmas,3.1,Variation1,1602.672179,BR-001
Normal,1,Variation1,465.851859,BR-001
Valentine,4.5,Variation2,1760.692354,BR-001
BlackFriday,2.2,Variation1,1419.120871,BR-001
Christmas,1.6,Control,808.53961,BR-001
Valentine,2.6,Variation2,1239.006331,BR-001
Normal,1,Control,1128.815672,BR-001
Valentine,2.1,Control,1819.971242,BR-001
BlackFriday,2.2,Control,-1416.006656,BR-001
Valentine,2,Variation1,1462.623199,BR-001
Christmas,3.2,Control,2037.417825,BR-001
Valentine,2.2,Control,699.4850122,BR-001
Normal,1,Control,1787.226234,BR-001
Valentine,3.1,Control,926.5460868,BR-001
Christmas,1.9,Control,1099.767495,BR-001
Valentine,1,Control,1808.951585,BR-001
BlackFriday,4.3,Control,1395.943124,BR-001
BlackFriday,3.7,Control,983.5630147,BR-001
Christmas,3.7,Control,1737.583876,BR-001
Valentine,2.8,Variation2,1022.881297,BR-001
BlackFriday,1.5,Control,1676.932664,BR-001
Normal,1,Control,1076.158784,BR-001
Christmas,3.9,Control,2297.401739,BR-001
Valentine,4.7,Variation2,2191.354202,BR-001
Christmas,4.2,Control,490.2787745,BR-001
Valentine,2.5,Control,1403.692755,BR-001
Valentine,4.9,Variation2,1963.176488,BR-001
BlackFriday,1.3,Variation2,1014.898849,BR-001
Normal,1,Control,656.306813,BR-001
Valentine,3.6,Variation1,893.441993,BR-001
Valentine,5,Variation2,2266.872588,BR-001
BlackFriday,1.4,Variation1,1730.039893,BR-001
BlackFriday,2,Control,909.0102841,BR-001
Christmas,2.5,Control,-1179.769966,BR-001
BlackFriday,3.4,Variation2,1913.88122,BR-001
Valentine,3.2,Variation1,2219.632581,BR-001
BlackFriday,2.3,Control,-1485.212662,BR-001
Normal,1,Variation1,815.2045641,BR-001
Normal,1,Control,-1271.547227,BR-001
Valentine,1.6,Control,1559.601116,BR-001
Normal,1,Control,331.4001293,BR-001
BlackFriday,3.2,Variation1,2264.657723,BR-001
Normal,1,Control,630.3587287,BR-001
Normal,1,Variation2,1887.373856,BR-001
Christmas,4.5,Variation2,1532.887794,BR-001
Christmas,2.3,Variation1,1758.789876,BR-001
Valentine,4.2,Control,1106.301046,BR-001
Christmas,2,Control,365.2409786,BR-001
BlackFriday,3.9,Variation2,878.6131389,BR-001
Normal,1,Variation1,747.2475388,BR-001
BlackFriday,2.6,Control,1320.963197,BR-001
Valentine,3.3,Variation2,1689.802555,BR-001
Christmas,4,Control,1645.20457,BR-001
Valentine,1.2,Variation2,1875.621598,BR-001
Valentine,3.6,Control,2107.034419,BR-001
Normal,1,Variation1,1842.012804,BR-001
Normal,1,Variation2,1683.171213,BR-001
Christmas,2.5,Variation2,905.5471319,BR-001
Valentine,2.3,Control,1049.665893,BR-001
Normal,1,Control,924.8622679,BR-001
BlackFriday,3.1,Control,692.8373942,BR-001
BlackFriday,1.2,Variation1,227.6907443,BR-001
Normal,1,Control,980.1783775,BR-001
Christmas,4.9,Variation1,-1080.866517,BR-001
Normal,1,Control,1556.152158,BR-001
Valentine,3.4,Control,688.2880165,BR-001
Valentine,3,Control,62.09941437,BR-001
Valentine,3.2,Control,761.5490013,BR-001
Normal,1,Control,1095.215545,BR-001
BlackFriday,2.9,Control,340.3029386,BR-001
Christmas,1.2,Control,1175.777151,BR-001
Christmas,2.7,Variation2,1369.692975,BR-001
Normal,1,Control,1707.288623,BR-001
BlackFriday,2.9,Variation2,1634.1312,BR-001
Christmas,2.9,Variation1,1321.44367,BR-001
BlackFriday,2.1,Control,1247.523688,BR-001
BlackFriday,2.2,Control,1250.231094,BR-001
Christmas,1.1,Control,1625.546297,BR-001
BlackFriday,4.7,Control,1648.014375,BR-001
BlackFriday,4.8,Variation2,585.394994,BR-001
Valentine,1.6,Control,1513.589545,BR-001
Normal,1,Control,191.3463918,BR-001
Christmas,4.1,Variation1,159.2481108,BR-001
Christmas,1.4,Control,1183.940484,BR-001
Valentine,1.9,Variation2,904.9485979,BR-001
Christmas,5,Control,2756.398923,BR-001
Valentine,1.6,Variation1,1707.943966,BR-001
Normal,1,Control,308.4671992,BR-001
BlackFriday,3.5,Variation2,1959.442505,BR-001
BlackFriday,1.7,Variation2,1367.164461,BR-001
Christmas,3.2,Control,277.6507154,BR-001
Christmas,2.9,Control,2363.21012,BR-001
BlackFriday,4.6,Control,614.069736,BR-001
Valentine,3.4,Control,2505.146145,BR-001
Normal,1,Control,1294.803731,BR-001
BlackFriday,4.1,Control,800.0769389,BR-001
BlackFriday,4.7,Control,1320.827394,BR-001
Normal,1,Control,-777.9216897,BR-001
Normal,1,Variation2,1067.370081,BR-001
BlackFriday,4.8,Variation1,574.3666168,BR-001
Valentine,1.4,Variation1,2574.493799,BR-001
BlackFriday,4,Variation1,1692.587049,BR-001
BlackFriday,4,Variation1,1759.110266,BR-001
Valentine,4.1,Control,1226.746618,BR-001
Christmas,4.3,Control,1622.390004,BR-001
Normal,1,Control,1292.31055,BR-001
Valentine,4,Variation1,1899.373585,BR-001
BlackFriday,2.6,Control,684.2102958,BR-001
Normal,1,Variation2,1300.831627,BR-001
Christmas,3.6,Variation2,1388.73083,BR-001
BlackFriday,1.4,Variation2,1513.138844,BR-001
Christmas,4.8,Control,613.8950623,BR-001
BlackFriday,2.8,Control,1804.853797,BR-001
Valentine,2.5,Control,1393.242362,BR-001
Christmas,2.2,Variation1,935.7423972,BR-001
Normal,1,Control,1172.816097,BR-001
Valentine,4.9,Variation2,1407.265591,BR-001
Valentine,3,Control,1785.394673,BR-001
Valentine,2.2,Control,2758.868733,BR-001
Christmas,1.3,Variation1,1183.697816,BR-001
Valentine,3.5,Control,2138.489564,BR-001
Valentine,4,Variation1,1159.928222,BR-001
BlackFriday,2.8,Variation1,-946.0460154,BR-001
Valentine,1.7,Variation2,1470.863853,BR-001
Normal,1,Control,1953.585153,BR-001
BlackFriday,2.8,Variation1,1704.015255,BR-001
BlackFriday,1.4,Control,1113.736038,BR-001
Christmas,1.5,Control,1139.808973,BR-001
Christmas,3.3,Variation2,1406.972996,BR-001
Normal,1,Control,791.4358048,BR-001
Normal,1,Variation2,481.0016478,BR-001
Christmas,1.7,Variation1,1179.041428,BR-001
BlackFriday,4.1,Control,2236.988469,BR-001
Normal,1,Control,918.4528596,BR-001
Christmas,4.5,Variation2,1220.162883,BR-001
